	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
241	charles_river	taconic	0	f0	1	2	0	0	1	1	ridge_class
242	taconic	taconic	1	f0	2	1	1	1	1	1	ridge_class
243	charles_river	charles_river	1	f0	3	3	0	0	0	1	ridge_class
244	charles_river	charles_river	1	f0	4	3	0	0	0	1	ridge_class
245	charles_river	charles_river	1	f0	5	4	0	1	1	0	ridge_class
246	charles_river	charles_river	1	f0	6	0	0	0	0	1	ridge_class
247	taconic	taconic	1	f0	7	2	1	0	1	0	ridge_class
248	taconic	taconic	1	f0	8	2	1	0	1	0	ridge_class
249	charles_river	charles_river	1	f0	9	4	1	1	1	0	ridge_class
250	charles_river	charles_river	1	f1	10	1	0	1	1	0	ridge_class
251	charles_river	charles_river	1	f1	11	0	0	0	0	1	ridge_class
252	taconic	taconic	1	f1	12	4	0	1	1	0	ridge_class
253	taconic	taconic	1	f1	13	3	1	0	0	1	ridge_class
254	taconic	taconic	1	f1	14	0	1	0	0	1	ridge_class
255	charles_river	charles_river	1	f1	15	0	1	0	0	1	ridge_class
256	charles_river	charles_river	1	f1	16	1	0	1	1	0	ridge_class
257	charles_river	charles_river	1	f1	17	0	0	0	0	1	ridge_class
258	charles_river	charles_river	1	f1	18	1	0	1	1	0	ridge_class
259	charles_river	charles_river	1	f1	19	0	0	0	0	1	ridge_class
260	charles_river	charles_river	1	f2	20	2	0	0	1	0	ridge_class
261	charles_river	charles_river	1	f2	21	1	0	1	1	0	ridge_class
262	taconic	taconic	1	f2	22	2	0	0	1	0	ridge_class
263	taconic	taconic	1	f2	23	3	1	0	0	1	ridge_class
264	charles_river	charles_river	1	f2	24	0	1	0	0	1	ridge_class
265	taconic	taconic	1	f2	25	3	0	0	0	1	ridge_class
266	taconic	taconic	1	f2	26	1	1	1	1	1	ridge_class
267	taconic	taconic	1	f2	27	2	1	0	1	0	ridge_class
268	taconic	taconic	1	f2	28	2	1	0	1	1	ridge_class
269	taconic	taconic	1	f2	29	4	1	1	1	0	ridge_class
270	charles_river	charles_river	1	f3	30	0	1	0	0	1	ridge_class
271	taconic	taconic	1	f3	31	4	0	1	1	0	ridge_class
272	taconic	taconic	1	f3	32	3	1	0	0	1	ridge_class
273	charles_river	charles_river	1	f3	33	1	1	1	1	0	ridge_class
274	charles_river	charles_river	1	f3	34	4	0	1	1	0	ridge_class
275	taconic	taconic	1	f3	35	0	0	0	0	1	ridge_class
276	taconic	taconic	1	f3	36	4	1	1	1	1	ridge_class
277	taconic	taconic	1	f3	37	1	1	1	1	0	ridge_class
278	taconic	taconic	1	f3	38	2	1	0	1	1	ridge_class
279	charles_river	charles_river	1	f4	39	3	1	0	0	1	ridge_class
280	taconic	taconic	1	f4	40	2	0	0	1	0	ridge_class
281	charles_river	charles_river	1	f4	41	3	1	0	0	1	ridge_class
282	taconic	taconic	1	f4	42	3	0	0	0	1	ridge_class
283	taconic	taconic	1	f4	43	4	1	1	1	0	ridge_class
284	charles_river	charles_river	1	f4	44	0	1	0	0	1	ridge_class
285	charles_river	charles_river	1	f4	45	1	1	1	1	0	ridge_class
286	charles_river	charles_river	1	f4	46	1	0	1	1	0	ridge_class
287	charles_river	charles_river	1	f4	47	2	0	0	1	0	ridge_class
288	taconic	taconic	1	f0	0	4	1	1	1	0	svc
289	charles_river	taconic	0	f0	1	2	0	0	1	1	svc
290	taconic	taconic	1	f0	2	1	1	1	1	1	svc
